location_id,name,type,campus,subzone,capacity,peak_demand_weight,morning_demand_weight,lunch_demand_weight,evening_demand_weight,night_demand_weight
loc_main_gate,Main Gate,gate,EAST,East Campus - Entrance,100,0.90,0.85,0.40,0.80,0.30
loc_main_building,Main Building,administrative,EAST,East Campus - Academic Core,300,0.85,0.80,0.50,0.60,0.15
loc_central_library,Central Library,library,EAST,East Campus - Academic Core,500,0.90,0.45,0.35,0.90,0.65
loc_e_library,e-Library,library,EAST,East Campus - Academic Core,400,0.85,0.40,0.30,0.85,0.60
loc_boys_coop,Boys Cooperative Society,cooperative_society,EAST,East Campus - Boys Hostels,80,0.75,0.30,0.45,0.75,0.40
loc_girls_coop,Girls Cooperative Society,cooperative_society,EAST,East Campus - Girls Hostels,80,0.75,0.30,0.45,0.75,0.40
loc_suprabha_boys,Suprabha – Boys Side,canteen,EAST,East Campus - Boys Hostels,120,0.90,0.55,0.60,0.90,0.85
loc_suprabha_girls,Suprabha – Girls Side,canteen,EAST,East Campus - Girls Hostels,120,0.90,0.55,0.60,0.90,0.85
loc_lhc_a,LHC-A,lecture_hall,EAST,East Campus - Academic Core,600,0.95,0.95,0.40,0.55,0.10
loc_lhc_b,LHC-B,lecture_hall,EAST,East Campus - Academic Core,600,0.95,0.95,0.40,0.55,0.10
dept_cse,Computer Science & Engineering,department,WEST,West Campus - Tech Cluster,400,0.90,0.85,0.40,0.60,0.15
dept_ece,Electronics & Communication Engineering,department,WEST,West Campus - Tech Cluster,400,0.90,0.85,0.40,0.60,0.15
dept_eee,Electrical & Electronics Engineering,department,WEST,West Campus - Tech Cluster,350,0.85,0.85,0.40,0.55,0.15
dept_it,Information Technology,department,WEST,West Campus - Tech Cluster,350,0.85,0.85,0.40,0.55,0.15
dept_mech,Mechanical Engineering,department,EAST,East Campus - Core Engineering,450,0.85,0.85,0.40,0.50,0.10
dept_civil,Civil Engineering,department,EAST,East Campus - Core Engineering,400,0.85,0.85,0.40,0.50,0.10
dept_chem,Chemical Engineering,department,EAST,East Campus - Core Engineering,300,0.80,0.80,0.40,0.50,0.10
dept_mme,Metallurgical and Materials Engineering,department,EAST,East Campus - Core Engineering,300,0.80,0.80,0.40,0.50,0.10
dept_mining,Mining Engineering,department,EAST,East Campus - Core Engineering,250,0.80,0.80,0.40,0.50,0.10
dept_macs,Mathematical and Computational Sciences,department,EAST,East Campus - Sciences,250,0.80,0.80,0.40,0.50,0.10
dept_physics,Physics,department,EAST,East Campus - Sciences,200,0.75,0.75,0.35,0.45,0.10
dept_chemistry,Chemistry,department,EAST,East Campus - Sciences,200,0.75,0.75,0.35,0.45,0.10
dept_hssm,"School of Humanities, Social Sciences and Management",department,EAST,East Campus - Academic Core,200,0.75,0.75,0.35,0.45,0.10
dept_wroe,Water Resources and Ocean Engineering,department,EAST,East Campus - Core Engineering,200,0.75,0.75,0.35,0.45,0.10
hostel_b_block1,Block 1 (Karavali),hostel_boys,EAST,East Campus - Boys Hostels,250,0.85,0.85,0.25,0.80,0.50
hostel_b_block2,Block 2 (Aravali),hostel_boys,EAST,East Campus - Boys Hostels,250,0.85,0.85,0.25,0.80,0.50
hostel_b_block3,Block 3 (Vindhya),hostel_boys,EAST,East Campus - Boys Hostels,250,0.85,0.85,0.25,0.80,0.50
hostel_b_block4,Block 4 (Satpura),hostel_boys,EAST,East Campus - Boys Hostels,250,0.85,0.85,0.25,0.80,0.50
